CL,T1-30.0 ft/s-VLM2, , CL,T1-30.0 ft/s-VLM2, , CL,T1-30.0 ft/s-VLM2, , CL,T1-30.0 ft/s-VLM2, , CL,T1-30.0 ft/s-VLM2, , 
    0.1396408,    0.03271237, ,     0.1396408,     0.1332779, ,     0.1396408,    0.06489334, ,     0.1396408,   0.007306338, ,     0.1396408,   -0.01326045, , 
     0.237592,   -0.01156063, ,      0.237592,     0.1611571, ,      0.237592,    0.04370904, ,      0.237592,   -0.05519458, ,      0.237592,   -0.09051729, , 
    0.3354154,   -0.05659996, ,     0.3354154,      0.188468, ,     0.3354154,    0.02182178, ,     0.3354154,    -0.1185119, ,     0.3354154,     -0.168631, , 
    0.4330506,    -0.1025827, ,     0.4330506,     0.2149529, ,     0.4330506, -0.0009712848, ,     0.4330506,    -0.1828022, ,     0.4330506,    -0.2477418, , 
    0.5304373,    -0.1493355, ,     0.5304373,     0.2406464, ,     0.5304373,   -0.02454129, ,     0.5304373,    -0.2478572, ,     0.5304373,    -0.3276129, , 
    0.6275158,    -0.1967129, ,     0.6275158,     0.2655851, ,     0.6275158,   -0.04877754, ,     0.6275158,     -0.313504, ,     0.6275158,    -0.4080491, , 
    0.7242266,    -0.2443876, ,     0.7242266,     0.2900212, ,     0.7242266,   -0.07337677, ,     0.7242266,    -0.3793961, ,     0.7242266,    -0.4886888, , 
    0.8205112,    -0.2921983, ,     0.8205112,     0.3140722, ,     0.8205112,   -0.09819174, ,     0.8205112,    -0.4453613, ,     0.8205112,    -0.5693505, , 
    0.9163115,    -0.3402455, ,     0.9163115,     0.3376143, ,     0.9163115,    -0.1233304, ,     0.9163115,    -0.5114943, ,     0.9163115,    -0.6501242, , 

